geometry,leisure,name_left,name:ca_left,note,name:es_left,operator,operator:type,name:etymology:wikidata,wikidata_left,wikipedia_left,alt_name_left,opening_hours,tourism,addr:city,addr:postcode,addr:street,alt_name:ca_left,alt_name:es,nohousenumber,old_name_left,phone,source_left,wikimedia_commons,dog,smoking,loc_name,access,loc_name:ca,loc_name:es,lit,surface,addr:housenumber,old_name:es,name:sr,place,foot,designation,name:etymology,source:date,natural,garden:type,description,noname,building,fee,parking,landuse,type_left,amenity,centroid,coords,element_right,id_right,admin_level,boundary,source_right,Barrio,name:ca_right,name:es_right,type_right,wikidata_right,wikipedia_right,ref,alt_name_right,old_name_right,alt_name:ca_right
POINT (-0.3758239322778474 39.49636424246267),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3758239322778474 39.49636424246267),"(39.49636424246267, -0.3758239322778474)",relation,14728078.0,10,administrative,,Torrefiel,Torrefiel,,boundary,Q9089066,ca:Torrefiel,,,,
POINT (-0.3746317050485152 39.4975074263257),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3746317050485152 39.4975074263257),"(39.4975074263257, -0.3746317050485152)",relation,14728078.0,10,administrative,,Torrefiel,Torrefiel,,boundary,Q9089066,ca:Torrefiel,,,,
POINT (-0.3797255210978905 39.49787604368201),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3797255210978905 39.49787604368201),"(39.49787604368201, -0.3797255210978905)",relation,14728078.0,10,administrative,,Torrefiel,Torrefiel,,boundary,Q9089066,ca:Torrefiel,,,,
POINT (-0.3771117544999372 39.49878097851361),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3771117544999372 39.49878097851361),"(39.49878097851361, -0.37711175449993717)",relation,14728078.0,10,administrative,,Torrefiel,Torrefiel,,boundary,Q9089066,ca:Torrefiel,,,,
POINT (-0.3729816544363463 39.49468838985916),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3729816544363463 39.49468838985916),"(39.49468838985916, -0.37298165443634634)",relation,14728078.0,10,administrative,,Torrefiel,Torrefiel,,boundary,Q9089066,ca:Torrefiel,,,,
POINT (-0.3729932009302669 39.4972958888344),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3729932009302669 39.4972958888344),"(39.4972958888344, -0.37299320093026694)",relation,14728078.0,10,administrative,,Torrefiel,Torrefiel,,boundary,Q9089066,ca:Torrefiel,,,,
POINT (-0.373070902937984 39.497663220571496),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.373070902937984 39.497663220571496),"(39.497663220571496, -0.373070902937984)",relation,14728078.0,10,administrative,,Torrefiel,Torrefiel,,boundary,Q9089066,ca:Torrefiel,,,,
POINT (-0.3689677802000087 39.49116014794966),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3689677802000087 39.49116014794966),"(39.49116014794966, -0.3689677802000087)",relation,14728079.0,10,administrative,,els Orriols,els Orriols,,boundary,Q8775138,ca:Els Orriols,,,,
POINT (-0.3693124438707285 39.49234956746349),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3693124438707285 39.49234956746349),"(39.49234956746349, -0.3693124438707285)",relation,14728079.0,10,administrative,,els Orriols,els Orriols,,boundary,Q8775138,ca:Els Orriols,,,,
POINT (-0.372441402526548 39.493826622222684),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.372441402526548 39.493826622222684),"(39.493826622222684, -0.372441402526548)",relation,14728079.0,10,administrative,,els Orriols,els Orriols,,boundary,Q8775138,ca:Els Orriols,,,,
